Neighborhood,Total_Homes,Arrest_Count,Incident_Count,Norm_Homes,Norm_Arrests,Norm_Incidents,Safety_Score
Allegheny Center,38.0,1244.0,63,0.008683729433272395,0.7198198198198198,0.8018867924528301,0.5101301139019742
Allegheny West,77.0,130.0,43,0.017595978062157222,0.9707207207207207,0.8647798742138365,0.6176988576655714
Allentown,575.0,947.0,133,0.13139853747714808,0.7867117117117117,0.5817610062893082,0.4999570851593893
Arlington,469.0,312.0,54,0.10717550274223035,0.9297297297297298,0.8301886792452831,0.6223646372390811
Arlington Heights,0.0,155.0,13,0.0,0.9650900900900901,0.9591194968553459,0.6414031956484787
Banksville,980.0,291.0,62,0.22394881170018283,0.9344594594594595,0.8050314465408805,0.6544799059001744
Bedford Dwellings,51.0,665.0,48,0.011654478976234004,0.8502252252252253,0.8490566037735849,0.5703121026583481
Beechview,2043.0,1201.0,159,0.46686471663619744,0.7295045045045045,0.5,0.5654564070469007
Beltzhoover,543.0,496.0,140,0.12408592321755027,0.8882882882882883,0.559748427672956,0.5240408797262649
Bloomfield,1650.0,984.0,187,0.37705667276051186,0.7783783783783784,0.4119496855345912,0.5224615788911605
Bluff,119.0,1502.0,155,0.027193784277879343,0.6617117117117117,0.5125786163522013,0.4004947041139308
Bon Air,310.0,267.0,22,0.07084095063985375,0.9398648648648649,0.9308176100628931,0.6471744751892039
Brighton Heights,2219.0,1114.0,159,0.5070840950639853,0.7490990990990991,0.5,0.5853943980543614
Brookline,4376.0,1390.0,206,1.0,0.6869369369369369,0.35220125786163525,0.6797127315995241
California-Kirkbride,85.0,315.0,43,0.01942413162705667,0.9290540540540541,0.8647798742138365,0.6044193532983158
Carrick,2660.0,2352.0,318,0.6078610603290676,0.47027027027027024,0.0,0.3593771101997793
Central Business District,402.0,4440.0,297,0.09186471663619744,0.0,0.06603773584905659,0.05263415082841801
Central Lawrenceville,1055.0,431.0,79,0.24108775137111518,0.902927927927928,0.7515723270440251,0.6318626687810228
Central Northside,627.0,23.0,136,0.1432815356489945,0.9948198198198198,0.5723270440251572,0.5701427998313239
Central Oakland,197.0,521.0,101,0.045018281535649,0.8826576576576577,0.6823899371069182,0.5366886254334083
Chartiers City,166.0,46.0,18,0.03793418647166362,0.9896396396396396,0.9433962264150944,0.6569900175087992
Chateau,0.0,454.0,44,0.0,0.8977477477477478,0.8616352201257862,0.586460989291178
Crafton Heights,1014.0,601.0,87,0.2317184643510055,0.8646396396396396,0.7264150943396226,0.6075910661100893
Crawford-Roberts,290.0,839.0,116,0.06627056672760512,0.811036036036036,0.6352201257861636,0.5041755761832682
Duquesne Heights,812.0,191.0,42,0.18555758683729434,0.956981981981982,0.8679245283018868,0.6701546990403878
East Allegheny,447.0,2217.0,141,0.10214808043875685,0.5006756756756756,0.5566037735849056,0.38647584323311274
East Carnegie,128.0,48.0,11,0.029250457038391225,0.9891891891891892,0.9654088050314465,0.6612828170863424
East Hills,544.0,1194.0,164,0.12431444241316271,0.731081081081081,0.48427672955974843,0.44655741768466406
East Liberty,415.0,1889.0,224,0.09483546617915906,0.5745495495495496,0.2955974842767296,0.3216608333351461
Elliott,558.0,663.0,74,0.12751371115173674,0.8506756756756757,0.7672955974842768,0.5818283281038964
Esplen,113.0,200.0,23,0.025822669104204752,0.954954954954955,0.9276729559748428,0.6361501933446675
Fairywood,86.0,127.0,27,0.019652650822669104,0.9713963963963964,0.9150943396226415,0.6353811289472356
Fineview,237.0,796.0,50,0.054159049360146254,0.8207207207207208,0.8427672955974843,0.5725490218927838
Friendship,108.0,174.0,33,0.024680073126142597,0.9608108108108108,0.8962264150943396,0.6272390996770977
Garfield,624.0,722.0,116,0.1425959780621572,0.8373873873873874,0.6352201257861636,0.538401163745236
Glen Hazel,0.0,169.0,20,0.0,0.9619369369369369,0.9371069182389937,0.6330146183919769
Greenfield,2059.0,537.0,127,0.47052102376599636,0.879054054054054,0.60062893081761,0.6500680028792202
Hays,80.0,120.0,24,0.018281535648994516,0.972972972972973,0.9245283018867925,0.6385942701695867
Hazelwood,1051.0,1396.0,262,0.24017367458866545,0.6855855855855856,0.17610062893081757,0.3672866297016895
Highland Park,1499.0,558.0,82,0.34255027422303475,0.8743243243243244,0.7421383647798743,0.6530043211090778
Homewood North,667.0,1969.0,193,0.15242230347349178,0.5565315315315316,0.39308176100628933,0.3673451986704375
Homewood South,364.0,2090.0,206,0.08318098720292505,0.5292792792792793,0.35220125786163525,0.3215538414479465
Homewood West,207.0,764.0,65,0.04730347349177331,0.8279279279279279,0.7955974842767295,0.5569429618988102
Knoxville,738.0,1336.0,200,0.1686471663619744,0.6990990990990991,0.37106918238993714,0.41293848261700355
Larimer,213.0,879.0,128,0.048674588665447896,0.802027027027027,0.5974842767295597,0.48272863080734485
Lincoln Place,1251.0,227.0,71,0.2858775137111517,0.9488738738738739,0.7767295597484276,0.6704936491111511
Lincoln-Lemington-Belmar,896.0,1362.0,203,0.20475319926873858,0.6932432432432433,0.3616352201257862,0.419877220879256
Lower Lawrenceville,444.0,272.0,65,0.10146252285191956,0.9387387387387387,0.7955974842767295,0.6119329152891292
Manchester,496.0,471.0,83,0.113345521023766,0.893918918918919,0.7389937106918238,0.582086050211503
Marshall-Shadeland,1032.0,1516.0,155,0.23583180987202926,0.6585585585585585,0.5125786163522013,0.46898966159426303
Middle Hill,247.0,932.0,108,0.056444241316270564,0.7900900900900901,0.6603773584905661,0.5023038966323089
Morningside,1013.0,188.0,37,0.23148994515539306,0.9576576576576576,0.8836477987421384,0.6909318005183964
Mount Oliver Borough,595.0,0.0,7,0.1359689213893967,1.0,0.9779874213836478,0.7046521142576815
Mount Washington,1927.0,1434.0,233,0.4403564899451554,0.6770270270270271,0.2672955974842768,0.4615597048188198
Mt. Oliver,126.0,0.0,12,0.028793418647166363,1.0,0.9622641509433962,0.6636858565301875
New Homestead,360.0,39.0,22,0.08226691042047532,0.9912162162162163,0.9308176100628931,0.6681002455665283
North Oakland,930.0,455.0,136,0.21252285191956125,0.8975225225225225,0.5723270440251572,0.560790806155747
North Shore,0.0,814.0,87,0.0,0.8166666666666667,0.7264150943396226,0.5143605870020964
Northview Heights,4.0,713.0,67,0.0009140767824497258,0.8394144144144144,0.7893081761006289,0.5432122224324977
Oakwood,280.0,82.0,13,0.06398537477148081,0.9815315315315315,0.9591194968553459,0.6682121343861195
Overbrook,1284.0,331.0,62,0.29341864716636196,0.9254504504504505,0.8050314465408805,0.6746335147192309
Perry North,1136.0,587.0,115,0.2595978062157221,0.8677927927927928,0.6383647798742138,0.5885851262942429
Perry South,869.0,1057.0,173,0.19858318098720293,0.7619369369369369,0.4559748427672956,0.47216498689714514
Point Breeze,1586.0,301.0,73,0.3624314442413163,0.9322072072072072,0.770440251572327,0.6883596343402836
Point Breeze North,343.0,289.0,52,0.07838208409506399,0.9349099099099099,0.8364779874213837,0.6165899938087859
Polish Hill,379.0,166.0,40,0.08660877513711152,0.9626126126126127,0.8742138364779874,0.6411450747425705
Regent Square,327.0,37.0,9,0.07472577696526508,0.9916666666666667,0.9716981132075472,0.6793635189464929
Ridgemont,142.0,37.0,12,0.03244972577696526,0.9916666666666667,0.9622641509433962,0.6621268477956761
Shadyside,2030.0,971.0,195,0.4638939670932358,0.7813063063063064,0.3867924528301887,0.5439975754099103
Sheraden,1240.0,1285.0,180,0.283363802559415,0.7105855855855856,0.4339622641509434,0.47597055076531464
South Oakland,485.0,354.0,102,0.11083180987202924,0.9202702702702703,0.679245283018868,0.5701157877203892
South Shore,0.0,301.0,27,0.0,0.9322072072072072,0.9150943396226415,0.6157671822766163
South Side Flats,1413.0,3497.0,304,0.32289762340036565,0.21238738738738738,0.04402515723270439,0.19310338934015248
South Side Slopes,1041.0,801.0,112,0.23788848263254114,0.8195945945945946,0.6477987421383649,0.5684272731218335
Spring Garden,269.0,219.0,26,0.06147166361974406,0.9506756756756757,0.9182389937106918,0.6434621110020372
Spring Hill-City View,642.0,711.0,117,0.14670932358318098,0.8398648648648649,0.6320754716981132,0.5395498867153864
Squirrel Hill North,2065.0,290.0,138,0.4718921389396709,0.9346846846846847,0.5660377358490566,0.6575381864911374
Squirrel Hill South,3069.0,812.0,272,0.7013254113345521,0.8171171171171171,0.14465408805031443,0.5543655388339945
St. Clair,52.0,55.0,15,0.011882998171846435,0.9876126126126126,0.9528301886792453,0.6507752664879014
Stanton Heights,1733.0,223.0,63,0.3960237659963437,0.9497747747747748,0.8018867924528301,0.7158951110746495
Strip District,81.0,503.0,79,0.01851005484460695,0.8867117117117117,0.7515723270440251,0.5522646978667812
Summer Hill,377.0,76.0,21,0.08615173674588665,0.9828828828828828,0.9339622641509434,0.667665627926571
Swisshelm Park,510.0,43.0,17,0.11654478976234003,0.9903153153153154,0.9465408805031447,0.6844669951936
Terrace Village,38.0,297.0,87,0.008683729433272395,0.9331081081081081,0.7264150943396226,0.5560689772936677
Troy Hill,622.0,439.0,88,0.14213893967093236,0.9011261261261261,0.7232704402515724,0.588845168682877
Upper Hill,493.0,370.0,52,0.1126599634369287,0.9166666666666666,0.8364779874213837,0.6219348725083264
Upper Lawrenceville,689.0,189.0,56,0.15744972577696525,0.9574324324324325,0.8238993710691824,0.6462605097595268
West End,39.0,290.0,23,0.008912248628884826,0.9346846846846847,0.9276729559748428,0.6237566297628041
West Oakland,173.0,325.0,65,0.03953382084095064,0.9268018018018018,0.7955974842767295,0.5873110356398273
Westwood,996.0,226.0,28,0.22760511882998172,0.9490990990990991,0.9119496855345912,0.6962179678212239
Windgap,568.0,124.0,24,0.12979890310786105,0.972072072072072,0.9245283018867925,0.6754664256889086
